------------------------------------------------------------------------------------
                                Performance Summary                                 
------------------------------------------------------------------------------------
                       Best performing model by perfomance Metrics                  
------------------------------------------------------------------------------------
+---------------+------------------------+-----------+----------------------------------------------------------------------------------------------------------+
|    Measure    |         Model          | BestScore |                                             Hyper Paramaters                                             |
+---------------+------------------------+-----------+----------------------------------------------------------------------------------------------------------+
|    accuracy   |  ExtraTreesClassifier  |    0.86   |       {'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 4, 'max_features': 'sqrt'}       |
|   precision   |  ExtraTreesClassifier  |    0.86   |         {'n_estimators': 50, 'criterion': 'gini', 'min_samples_leaf': 2, 'max_features': 'auto'}         |
|     recall    |     MLPClassifier      |    0.96   |                 {'hidden_layer_sizes': 100, 'activation': 'identity', 'solver': 'lbfgs'}                 |
|    f1_score   |  ExtraTreesClassifier  |    0.88   |       {'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 4, 'max_features': 'sqrt'}       |
| roc_auc_score | RandomForestClassifier |    0.85   | {'max_features': 'auto', 'n_estimators': 20, 'min_samples_leaf': 4, 'max_depth': 3, 'criterion': 'gini'} |
+---------------+------------------------+-----------+----------------------------------------------------------------------------------------------------------+


------------------------------------------------------------------------------------
                       Summary statistics by model                                  
------------------------------------------------------------------------------------
+---------------+----------------------------+-------+------+------+--------+
|    Measure    |           Model            |  AVG  | MAX  | MIN  | StdDEV |
+---------------+----------------------------+-------+------+------+--------+
|    accuracy   |     LogisticRegression     | 0.814 | 0.82 | 0.79 |  0.01  |
|    accuracy   |   RandomForestClassifier   | 0.826 | 0.85 | 0.78 | 0.013  |
|    accuracy   |   DecisionTreeClassifier   | 0.752 | 0.8  | 0.69 | 0.025  |
|    accuracy   |       MLPClassifier        | 0.743 | 0.83 | 0.65 | 0.055  |
|    accuracy   |    KNeighborsClassifier    | 0.645 | 0.66 | 0.63 | 0.011  |
|    accuracy   |     AdaBoostClassifier     | 0.672 | 0.84 | 0.24 |  0.25  |
|    accuracy   |     BaggingClassifier      |  0.8  | 0.82 | 0.78 | 0.016  |
|    accuracy   |    ExtraTreesClassifier    | 0.839 | 0.86 | 0.81 | 0.012  |
|    accuracy   | GradientBoostingClassifier | 0.715 | 0.82 | 0.35 | 0.143  |
|    accuracy   |    ExtraTreeClassifier     | 0.753 | 0.79 | 0.7  | 0.021  |
|   precision   |     LogisticRegression     | 0.821 | 0.83 | 0.8  | 0.009  |
|   precision   |   RandomForestClassifier   | 0.818 | 0.85 | 0.78 | 0.013  |
|   precision   |   DecisionTreeClassifier   | 0.793 | 0.85 | 0.74 | 0.025  |
|   precision   |       MLPClassifier        | 0.756 | 0.84 | 0.66 | 0.049  |
|   precision   |    KNeighborsClassifier    | 0.663 | 0.68 | 0.63 |  0.02  |
|   precision   |     AdaBoostClassifier     | 0.679 | 0.84 | 0.27 | 0.237  |
|   precision   |     BaggingClassifier      |  0.81 | 0.82 | 0.8  | 0.008  |
